program_id,day_type,format,topic,registered,attended,promotion_channel
P001,weekday,in_person,digital_skills,28,20,email
P002,weekday,online,career,42,31,social
P003,weekday,in_person,health,24,19,poster
P004,weekend,in_person,arts,35,30,social
P005,weekday,online,digital_skills,38,27,email
P006,weekend,in_person,career,30,24,email
P007,weekday,in_person,arts,18,15,poster
P008,weekend,online,health,44,34,social
P009,weekday,in_person,career,26,18,email
P010,weekend,in_person,digital_skills,32,28,social
P011,weekday,online,health,40,29,email
P012,weekend,in_person,arts,22,20,poster
P013,weekday,in_person,digital_skills,31,22,social
P014,weekend,online,career,48,36,email
P015,weekday,in_person,health,20,16,poster
P016,weekend,in_person,digital_skills,27,23,email
P017,weekday,online,career,45,32,social
P018,weekend,in_person,arts,25,22,social
P019,weekday,in_person,arts,17,14,poster
P020,weekend,online,health,41,30,email
P021,weekday,in_person,career,29,21,email
P022,weekend,in_person,digital_skills,34,29,social
P023,weekday,online,digital_skills,37,26,social
P024,weekend,in_person,health,23,19,poster
