ticket_id,opened_week,channel,region,issue_type,customer_tenure_months,first_response_minutes,messages_count,satisfaction_score,escalated,post_case_priority
T001,1,chat,North,Billing,24,4,3,5,0,standard
T002,1,email,South,Technical,6,45,8,3,0,standard
T003,1,phone,East,Account,18,12,4,4,0,standard
T004,1,web,West,Delivery,10,30,6,4,0,standard
T005,1,chat,South,Account,36,6,2,5,0,standard
T006,1,email,North,Billing,2,180,14,1,1,urgent
T007,2,phone,West,Delivery,48,16,5,4,0,standard
T008,2,web,East,Technical,15,38,7,3,0,standard
T009,2,chat,North,Account,20,5,3,5,0,standard
T010,2,email,South,Delivery,30,52,8,3,0,standard
T011,2,phone,West,Technical,3,95,12,2,1,urgent
T012,2,web,North,Billing,,28,5,4,0,standard
T013,3,chat,East,Delivery,12,7,3,5,0,standard
T014,3,email,West,Account,42,40,6,4,0,standard
T015,3,phone,South,Billing,9,18,5,4,0,standard
T016,3,web,North,Technical,27,34,7,3,0,standard
T017,3,web,South,Delivery,8,140,11,2,1,urgent
T018,3,chat,West,Technical,33,8,4,5,0,standard
T019,4,email,East,Billing,16,55,8,3,0,standard
T020,4,phone,North,Account,22,14,4,4,0,standard
T021,4,chat,South,Delivery,11,6,3,5,0,standard
T022,4,email,West,Account,1,240,16,,1,urgent
T023,4,web,East,Billing,39,32,6,4,0,standard
T024,4,phone,South,Technical,25,20,7,3,0,standard
T025,5,chat,North,Technical,7,9,4,4,0,standard
T026,5,email,East,Delivery,31,48,7,3,0,standard
T027,5,web,West,Account,19,36,6,4,0,standard
T028,5,phone,South,Billing,5,75,10,2,1,urgent
T029,5,chat,East,Account,44,5,2,5,0,standard
T030,5,email,North,Technical,13,60,9,,0,standard
T031,6,phone,West,Delivery,,15,5,4,0,standard
T032,6,web,South,Billing,29,42,7,3,0,standard
T033,6,email,North,Technical,14,320,18,1,1,urgent
T034,6,chat,West,Delivery,21,7,3,5,0,standard
T035,6,phone,East,Account,38,11,4,4,0,standard
T036,6,web,North,Delivery,17,39,7,,0,standard
T037,7,chat,South,Billing,26,8,4,4,0,standard
T038,7,web,East,Delivery,,110,13,2,1,urgent
T039,7,email,West,Technical,35,50,8,3,0,standard
T040,7,phone,North,Billing,12,17,5,4,0,standard
T041,7,chat,East,Technical,28,6,3,5,0,standard
T042,7,email,South,Account,9,480,20,,1,urgent
T043,8,web,West,Billing,41,33,6,4,0,standard
T044,8,chat,North,Delivery,23,4,2,5,0,standard
T045,8,phone,West,Billing,4,88,12,1,1,urgent
T046,8,email,East,Account,32,46,7,3,0,standard
T047,8,chat,South,Technical,,10,4,,0,standard
T048,8,web,North,Technical,7,210,15,2,1,urgent
