customer_id,tenure_months,monthly_spend,support_tickets,plan,region,signup_channel,renewed
C001,2,96,8,basic,north,paid,0
C002,48,58,1,premium,south,referral,1
C003,7,82,6,basic,east,organic,0
C004,36,72,2,standard,west,referral,1
C005,14,88,5,standard,north,paid,0
C006,60,64,0,premium,east,organic,1
C007,5,105,9,basic,west,paid,0
C008,29,69,2,standard,south,organic,1
C009,11,91,7,basic,north,referral,0
C010,54,77,1,premium,west,referral,1
C011,18,84,5,standard,east,paid,0
C012,42,61,2,premium,south,organic,1
C013,3,99,8,basic,east,paid,0
C014,33,74,3,standard,north,referral,1
C015,9,89,6,basic,south,organic,0
C016,57,68,1,premium,west,organic,1
C017,16,93,4,standard,east,paid,0
C018,39,66,2,standard,south,referral,1
C019,6,101,7,basic,north,paid,0
C020,45,59,1,premium,east,referral,1
C021,13,86,5,basic,west,organic,0
C022,31,71,2,standard,north,organic,1
C023,8,94,8,basic,south,paid,0
C024,52,63,0,premium,west,referral,1
C025,20,83,6,standard,east,paid,0
C026,38,67,2,standard,south,organic,1
C027,4,103,9,basic,north,paid,0
C028,63,56,1,premium,east,referral,1
C029,15,,5,standard,west,organic,0
C030,47,70,2,premium,south,referral,1
C031,10,92,7,basic,east,paid,0
C032,35,65,3,standard,north,organic,1
C033,1,108,10,basic,west,paid,0
C034,50,62,1,premium,south,referral,1
C035,17,87,,standard,east,organic,0
C036,41,73,2,premium,north,organic,1
C037,12,97,6,basic,south,paid,0
C038,58,60,0,premium,west,referral,1
C039,19,81,5,,east,paid,0
C040,44,68,2,standard,south,organic,1
C041,6,100,8,basic,,paid,0
C042,37,75,1,premium,north,referral,1
C043,21,85,4,standard,west,,0
C044,55,57,1,premium,east,organic,1
C045,9,90,7,basic,south,paid,0
C046,34,69,2,standard,north,referral,1
C047,23,79,5,standard,west,organic,0
C048,49,64,1,premium,east,referral,1
C049,,98,8,basic,north,paid,0
C050,40,71,2,standard,south,organic,1
C051,14,89,6,basic,west,referral,0
C052,62,55,0,premium,east,organic,1
C053,18,86,5,standard,north,paid,0
C054,46,,1,premium,south,referral,1
C055,7,102,9,basic,east,paid,0
C056,32,76,2,standard,west,organic,1
C057,22,80,4,standard,south,referral,0
C058,53,63,,premium,north,organic,1
C059,11,95,7,,west,paid,0
C060,43,67,1,premium,east,,1
