transaction_id,floor_area_m2,bedrooms,building_age_years,distance_to_transit_km,neighborhood_score,renovation_quality,energy_efficiency,local_job_access_score,post_sale_assessment_k,sale_price_k
TX-0001,103.21,2,39,3.723,43.37,2,59.87,78.79,381.22,381.24
TX-0002,95.03,2,65,5.888,80.62,1,57.50,62.98,381.64,379.93
TX-0003,100.08,2,11,1.505,77.03,1,80.96,89.63,579.19,580.29
TX-0004,186.78,4,34,5.729,35.88,2,73.62,59.43,463.52,469.09
TX-0005,149.37,4,51,6.151,66.16,2,69.33,63.75,474.80,478.66
TX-0006,139.86,4,66,0.768,53.26,3,38.00,98.08,531.32,528.91
TX-0007,132.53,4,10,1.840,78.58,5,80.80,73.17,702.46,702.43
TX-0008,172.07,4,0,5.682,63.77,4,76.95,49.04,681.00,680.04
TX-0009,206.27,4,63,5.467,86.93,5,51.02,62.79,616.30,612.60
TX-0010,97.64,3,31,0.446,65.84,3,93.04,98.08,656.51,651.85
TX-0011,127.62,3,19,3.851,62.03,2,72.30,73.29,555.79,556.98
TX-0012,109.13,4,54,2.626,67.44,2,50.55,77.53,476.31,474.93
TX-0013,102.04,3,38,0.370,93.25,2,72.02,100.00,637.76,641.25
TX-0014,86.33,3,11,8.472,78.45,4,67.24,34.91,501.62,503.35
TX-0015,56.11,2,61,4.709,41.21,3,51.62,83.03,186.85,188.03
TX-0016,201.60,5,46,7.551,55.22,3,75.04,48.31,594.18,587.35
TX-0017,77.91,2,58,1.833,70.90,4,68.34,79.00,453.01,455.26
TX-0018,166.21,4,47,7.224,84.59,3,67.60,50.62,587.77,582.23
TX-0019,133.05,4,66,7.411,94.15,1,51.62,47.29,469.31,468.69
TX-0020,120.18,4,0,1.764,50.86,1,68.58,95.57,550.48,547.80
TX-0021,216.14,5,64,3.143,42.20,1,52.02,81.89,537.40,536.23
TX-0022,68.66,2,0,2.830,86.99,5,82.75,87.31,617.84,614.92
TX-0023,52.75,2,42,8.932,55.38,4,62.19,51.40,354.85,353.45
TX-0024,78.31,1,37,3.783,70.70,2,52.31,77.80,409.11,405.74
TX-0025,141.39,3,11,0.936,59.32,1,92.53,97.30,598.40,594.06
TX-0026,215.26,5,12,5.018,63.76,5,83.63,61.44,767.33,770.21
TX-0027,188.60,5,22,0.363,76.07,2,81.77,100.00,847.06,850.60
TX-0028,121.12,3,47,2.903,78.60,3,73.41,91.15,672.61,669.23
TX-0029,197.93,4,69,1.205,48.41,4,49.10,98.84,594.36,594.66
TX-0030,159.19,4,57,6.277,52.42,5,57.40,52.57,378.78,379.88
TX-0031,42.69,1,66,7.335,35.70,5,48.22,39.01,140.03,141.95
TX-0032,144.43,3,18,1.517,39.71,1,90.71,93.08,544.72,540.11
TX-0033,160.65,4,19,3.013,68.31,5,65.55,77.12,649.18,647.68
TX-0034,129.98,3,25,3.730,67.05,5,75.10,74.32,556.99,554.69
TX-0035,219.03,5,49,6.777,50.12,4,73.62,58.99,612.01,616.72
TX-0036,217.35,5,66,0.965,85.93,2,44.33,95.61,851.79,847.24
TX-0037,178.14,5,37,1.895,63.29,2,62.94,79.63,701.61,698.93
TX-0038,57.46,1,55,1.428,38.97,4,58.07,100.00,410.34,411.08
TX-0039,154.30,3,62,1.768,64.48,5,46.57,96.87,596.33,595.89
TX-0040,106.66,1,46,8.389,85.22,2,43.96,44.49,389.34,392.65
TX-0041,120.44,4,5,7.676,66.20,5,89.36,52.59,517.11,519.73
TX-0042,198.67,4,28,2.156,79.00,2,70.63,94.99,887.38,890.63
TX-0043,163.52,4,22,3.399,55.67,1,71.27,73.94,512.53,510.47
TX-0044,177.28,5,45,4.119,49.25,2,66.61,58.85,632.77,626.52
TX-0045,194.35,4,63,7.936,71.16,5,47.60,35.64,498.28,501.26
TX-0046,178.49,5,57,6.166,82.79,3,66.21,46.79,599.63,604.62
TX-0047,45.36,2,24,4.868,52.56,4,97.79,67.58,376.38,375.69
TX-0048,188.79,4,12,1.865,57.91,2,94.60,76.00,728.29,728.96
TX-0049,70.77,1,57,5.576,52.41,3,66.03,64.97,288.91,287.38
TX-0050,192.15,4,47,7.748,76.75,5,75.80,43.99,690.29,688.65
TX-0051,220.86,6,20,1.395,65.61,3,91.41,100.00,947.69,939.35
TX-0052,194.55,5,3,4.183,88.53,2,90.70,81.63,887.00,889.34
TX-0053,126.16,3,64,0.567,46.34,3,51.26,100.00,496.21,493.98
TX-0054,61.62,2,15,0.893,50.22,3,64.77,88.02,433.15,432.47
TX-0055,189.34,4,53,2.019,52.66,1,57.95,84.27,576.98,578.15
TX-0056,185.19,5,31,1.027,67.96,4,71.59,91.38,780.88,778.46
TX-0057,87.68,2,15,7.690,48.99,4,85.44,58.84,372.15,372.14
TX-0058,85.34,2,57,4.381,82.04,2,56.12,74.56,368.79,367.24
TX-0059,144.58,3,37,2.917,48.07,3,72.17,85.66,540.82,539.05
TX-0060,102.83,3,6,0.352,89.67,2,92.06,100.00,686.29,689.13
TX-0061,101.00,2,33,7.048,90.36,1,81.15,50.38,502.19,501.97
TX-0062,100.31,3,14,0.891,48.41,3,83.98,80.14,525.79,524.14
TX-0063,125.32,2,1,0.460,50.86,4,98.37,100.00,671.00,671.07
TX-0064,105.64,3,36,1.103,36.68,3,63.91,100.00,484.69,478.98
TX-0065,217.29,5,51,5.222,89.31,4,71.40,60.30,877.56,880.00
TX-0066,189.19,4,36,0.409,50.12,3,56.63,100.00,735.21,731.58
TX-0067,103.49,3,4,2.138,80.24,1,83.86,100.00,660.56,658.25
TX-0068,79.50,2,39,7.162,95.94,2,69.50,54.57,493.85,497.42
TX-0069,63.35,2,19,7.753,58.23,1,64.34,53.35,309.63,309.10
TX-0070,69.53,1,28,7.416,47.96,3,79.28,37.13,295.26,299.49
TX-0071,106.12,4,18,3.419,54.40,4,78.18,70.53,513.20,515.57
TX-0072,77.16,2,63,8.649,40.47,3,55.21,37.42,269.37,268.21
TX-0073,185.32,5,39,3.892,65.67,2,64.55,79.50,664.96,662.99
TX-0074,54.31,1,63,0.660,93.21,1,70.32,98.65,454.45,455.61
TX-0075,165.43,4,17,5.360,85.54,5,77.88,73.99,826.38,834.14
TX-0076,58.40,1,70,8.287,48.82,4,62.64,43.00,111.64,111.98
TX-0077,44.07,2,61,3.272,67.07,4,48.77,91.14,265.59,266.98
TX-0078,49.06,2,31,8.407,37.43,2,77.41,43.17,293.89,296.25
TX-0079,184.32,5,30,3.283,64.13,4,79.60,74.02,611.99,613.82
TX-0080,113.39,2,5,6.525,84.43,1,87.55,78.92,585.25,588.39
TX-0081,95.19,2,8,6.249,63.97,3,82.63,50.82,475.61,473.71
TX-0082,217.95,5,64,6.157,45.15,5,47.19,80.20,552.74,549.54
TX-0083,177.64,5,34,5.296,85.90,5,74.22,68.80,726.84,725.01
TX-0084,180.27,5,39,1.260,95.03,4,66.05,92.41,841.81,844.29
TX-0085,206.05,4,29,4.641,94.11,4,74.11,73.82,763.85,769.44
TX-0086,212.78,5,6,4.921,66.51,5,88.95,73.47,818.36,812.66
TX-0087,50.09,1,17,2.022,48.39,3,78.69,91.48,434.41,429.47
TX-0088,219.23,5,54,7.068,71.94,4,38.00,56.93,665.21,667.43
TX-0089,51.72,2,36,0.895,78.22,1,62.24,89.76,458.46,459.91
TX-0090,111.07,3,50,6.056,50.55,1,46.50,59.17,225.78,224.97
TX-0091,172.78,5,9,2.538,64.77,1,88.61,88.50,615.01,618.97
TX-0092,91.18,2,16,7.399,72.84,2,76.38,52.46,476.06,475.72
TX-0093,125.62,3,46,5.940,71.68,4,61.98,73.28,478.10,475.29
TX-0094,177.74,4,5,0.207,53.01,1,95.15,100.00,729.48,730.80
TX-0095,60.11,1,1,8.375,44.70,2,91.46,53.74,294.40,294.09
TX-0096,45.36,1,2,7.795,35.47,4,96.62,38.17,302.17,302.00
TX-0097,84.04,2,23,5.645,89.76,3,73.90,75.96,434.83,443.03
TX-0098,48.46,1,57,3.478,51.03,5,47.29,70.19,202.59,206.25
TX-0099,44.69,1,62,8.034,56.19,5,42.17,50.36,196.12,196.61
TX-0100,211.31,5,33,0.810,42.77,2,90.75,100.00,693.06,693.24
TX-0101,91.98,2,12,0.734,71.93,2,72.72,97.97,557.55,560.37
TX-0102,97.15,3,47,7.392,83.78,4,67.04,56.65,472.90,472.11
TX-0103,103.09,2,23,8.600,90.83,4,80.71,52.97,562.13,563.76
TX-0104,213.00,5,15,5.938,40.46,1,92.04,55.44,602.11,608.96
TX-0105,114.44,3,1,6.745,78.12,3,96.02,55.60,607.02,612.74
TX-0106,110.02,3,33,7.085,58.80,2,78.44,56.89,424.55,424.63
TX-0107,84.93,2,66,8.962,85.60,4,56.92,28.12,384.24,381.04
TX-0108,139.37,3,47,7.616,45.14,2,72.43,48.48,390.59,392.18
TX-0109,65.46,2,26,4.393,58.48,1,81.61,71.81,372.61,371.67
TX-0110,175.03,3,29,5.210,54.51,1,63.79,76.59,563.64,560.92
TX-0111,157.18,3,15,7.796,48.75,3,80.89,52.36,504.44,502.24
TX-0112,88.99,2,38,1.427,68.20,3,79.59,86.27,469.68,465.48
TX-0113,130.59,4,3,8.673,73.65,1,88.28,38.98,559.50,561.08
TX-0114,203.02,6,45,5.770,77.06,3,75.14,47.55,743.43,737.20
TX-0115,148.86,4,41,8.294,66.22,3,72.06,56.12,528.70,534.81
TX-0116,203.87,5,58,6.229,46.91,3,59.97,57.89,540.72,541.97
TX-0117,108.34,3,50,3.661,43.73,1,66.49,72.58,286.19,286.79
TX-0118,74.59,2,17,7.831,41.23,5,87.65,49.30,374.79,375.63
TX-0119,118.43,2,28,7.570,43.92,3,82.59,54.35,371.13,369.77
TX-0120,73.34,2,23,4.809,38.49,1,75.35,68.48,311.96,311.55
TX-0121,65.21,2,16,5.755,78.72,5,72.05,66.17,528.59,526.10
TX-0122,210.17,6,27,4.988,83.94,3,85.28,69.73,763.91,763.90
TX-0123,216.34,5,61,8.781,57.07,2,38.00,36.95,564.37,560.32
TX-0124,140.98,3,44,5.536,35.99,2,65.27,63.07,340.25,340.31
TX-0125,156.10,4,32,2.387,57.38,4,84.61,74.05,614.41,611.28
TX-0126,98.00,3,3,8.469,83.26,4,81.04,54.85,581.85,578.26
TX-0127,56.27,2,69,3.700,53.15,1,45.41,84.32,220.16,219.35
TX-0128,82.35,3,29,6.391,60.52,4,73.25,56.60,369.73,369.19
TX-0129,129.94,3,4,7.945,67.96,5,99.00,52.70,575.24,575.08
TX-0130,118.72,3,70,6.907,89.65,4,62.82,64.47,514.68,511.96
TX-0131,160.38,3,65,2.353,65.27,3,53.45,85.35,535.79,537.44
TX-0132,196.14,4,42,5.495,44.82,1,64.99,64.62,476.26,484.37
TX-0133,104.08,2,44,1.959,50.25,2,69.69,100.00,429.68,432.16
TX-0134,107.21,3,56,4.524,51.05,5,56.74,70.71,360.98,362.48
TX-0135,146.48,3,37,1.733,84.01,3,86.05,93.21,779.10,784.74
TX-0136,86.48,2,65,5.518,75.80,2,66.42,68.66,333.83,333.45
TX-0137,193.35,5,29,5.460,59.98,5,83.31,58.96,743.02,738.78
TX-0138,145.57,3,8,3.483,35.02,1,92.03,72.96,470.51,471.06
TX-0139,101.97,2,49,3.942,61.50,1,76.57,74.88,372.44,375.47
TX-0140,95.30,2,24,7.591,58.34,5,58.27,53.00,383.88,384.15
TX-0141,101.84,2,37,7.415,42.44,5,72.58,54.04,434.44,429.87
TX-0142,162.06,4,42,4.170,85.14,5,69.98,76.81,764.58,762.37
TX-0143,199.24,5,37,1.774,60.16,5,63.86,100.00,733.47,739.34
TX-0144,58.56,1,64,8.374,95.81,4,51.47,53.80,321.60,320.89
TX-0145,93.22,2,60,3.195,72.21,2,63.45,88.34,321.13,322.30
TX-0146,204.44,3,39,6.456,85.85,5,59.73,63.05,804.26,805.91
TX-0147,73.51,2,16,2.226,43.28,4,92.38,82.12,471.29,477.11
TX-0148,46.40,1,65,1.986,36.33,2,44.44,85.91,183.12,181.71
TX-0149,74.19,2,69,2.945,89.07,1,58.78,92.71,388.03,385.21
TX-0150,149.79,3,32,3.997,80.08,4,55.37,83.68,635.69,637.23
TX-0151,51.41,1,41,7.295,77.11,1,57.72,57.56,304.28,303.24
TX-0152,205.09,5,6,0.634,74.03,2,88.90,100.00,991.78,996.91
TX-0153,65.34,1,18,8.571,76.29,3,77.87,37.38,338.10,338.50
TX-0154,198.18,5,57,6.037,70.93,4,59.41,61.67,616.44,619.23
TX-0155,184.80,5,7,5.180,48.97,3,88.12,68.89,567.09,567.82
TX-0156,92.09,2,40,4.432,52.84,3,43.09,79.03,436.29,427.32
TX-0157,154.10,4,47,3.680,73.35,3,58.02,62.69,501.41,504.66
TX-0158,166.22,3,22,7.902,50.32,1,79.07,44.22,531.13,533.24
TX-0159,113.83,2,49,8.867,57.36,4,65.75,49.71,399.15,397.57
TX-0160,125.92,3,15,4.690,84.22,4,82.87,62.99,660.52,660.99
TX-0161,215.95,5,26,1.192,56.30,5,72.31,95.71,837.38,841.15
TX-0162,62.69,1,3,2.838,66.99,5,96.57,78.47,479.27,476.18
TX-0163,54.23,1,5,2.316,54.80,4,80.28,81.29,429.32,434.46
TX-0164,133.24,3,32,6.614,85.13,3,60.16,62.35,579.47,575.39
TX-0165,44.21,1,70,3.740,66.83,4,43.42,88.66,223.33,225.43
TX-0166,70.97,2,61,3.485,40.30,2,77.15,77.80,230.09,236.51
TX-0167,149.23,4,10,7.471,80.41,2,80.66,50.46,625.88,625.46
TX-0168,164.82,4,60,0.402,73.42,4,61.61,99.28,687.36,682.35
TX-0169,61.01,1,35,3.634,49.33,2,56.99,84.33,313.93,314.29
TX-0170,74.05,2,19,0.314,75.61,1,97.64,100.00,596.30,595.05
TX-0171,64.40,2,22,1.215,89.17,5,78.86,91.21,652.10,648.94
TX-0172,158.61,4,66,3.379,35.93,4,45.50,69.74,441.19,439.94
TX-0173,126.45,3,51,8.218,51.66,3,69.86,40.77,356.71,358.89
