learner_id,account_age_days,weekly_sessions,overdue_tasks,assessment_score,help_requests,disengaged_next_30_days
L001,293,10,6,70,1,0
L002,673,8,3,73,2,0
L003,626,9,7,57,2,0
L004,458,4,5,53,6,1
L005,71,7,7,50,7,1
L006,160,9,2,62,3,0
L007,80,8,5,41,1,1
L008,412,3,5,73,7,0
L009,103,4,0,83,4,0
L010,619,4,1,56,3,0
L011,375,2,6,75,6,0
L012,662,11,1,83,3,0
L013,411,0,2,41,2,1
L014,385,3,0,48,6,0
L015,31,3,0,71,1,0
L016,88,10,4,84,3,0
L017,81,7,0,90,3,0
L018,517,6,2,54,3,0
L019,62,12,4,74,6,0
L020,300,10,6,68,5,1
L021,469,3,8,89,1,0
L022,384,6,6,63,4,1
L023,97,2,0,82,6,0
L024,399,5,2,61,0,0
L025,313,8,1,50,4,1
L026,664,9,8,59,5,0
L027,625,3,1,40,7,0
L028,516,0,2,60,6,0
L029,169,2,5,62,6,1
L030,115,5,2,67,5,1
L031,102,6,0,64,5,0
L032,408,11,3,82,0,0
L033,695,3,3,82,6,0
L034,451,3,3,61,4,0
L035,534,9,2,80,3,0
L036,107,5,3,75,2,0
L037,705,9,2,42,7,0
L038,130,5,5,61,2,0
L039,400,5,2,61,1,0
L040,143,12,4,90,7,0
L041,30,8,2,46,3,0
L042,294,0,6,93,1,1
L043,712,2,3,41,3,0
L044,138,3,2,60,2,0
L045,501,7,7,48,6,1
L046,27,5,3,47,6,0
L047,342,9,3,51,7,0
L048,129,8,4,50,0,0
L049,37,1,2,56,3,0
L050,296,11,7,73,1,0
L051,187,10,7,56,3,1
L052,519,0,8,91,0,0
L053,77,11,1,86,5,0
L054,657,5,4,59,5,0
L055,683,3,5,96,0,0
L056,537,7,1,86,5,0
L057,527,2,0,95,0,0
L058,685,12,0,78,7,0
L059,665,5,5,87,0,0
L060,597,0,4,51,7,1
L061,655,4,4,90,3,0
L062,426,9,4,45,1,0
L063,124,2,8,92,7,1
L064,696,9,7,54,7,0
L065,421,2,6,44,5,0
L066,148,7,1,70,0,0
L067,18,6,8,53,6,1
L068,720,9,5,86,4,0
L069,271,11,6,61,1,0
L070,201,4,3,50,7,0
L071,173,6,5,85,1,0
L072,268,10,4,82,3,0
L073,47,11,1,97,7,0
L074,345,6,2,68,2,0
L075,692,12,8,83,4,1
L076,578,7,7,78,1,0
L077,537,12,6,59,3,0
L078,273,1,3,59,3,0
L079,700,5,6,76,6,1
L080,345,3,7,53,5,1
L081,496,0,8,52,6,1
L082,332,6,3,68,4,1
L083,517,6,5,98,3,0
L084,720,7,7,49,0,0
L085,455,9,5,48,7,0
L086,313,8,5,63,5,0
L087,717,6,5,89,3,0
L088,450,3,3,51,4,1
L089,501,8,7,63,7,1
L090,146,1,0,54,0,0
L091,629,9,4,72,5,0
L092,240,0,1,71,0,0
L093,389,10,6,63,7,1
L094,548,12,0,79,7,0
L095,515,3,8,72,2,0
L096,194,2,7,54,4,1
L097,198,10,5,65,3,1
L098,377,1,4,96,5,0
L099,160,2,6,69,1,0
L100,619,1,1,53,6,0
L101,245,9,5,45,7,1
L102,150,12,8,65,4,0
L103,594,1,8,86,2,0
L104,151,12,8,58,0,0
L105,350,2,6,50,4,1
L106,690,11,8,51,4,1
L107,430,10,0,58,1,0
L108,292,0,8,95,3,0
L109,180,7,0,69,5,0
L110,21,9,8,84,4,0
L111,433,3,3,89,2,0
L112,472,10,4,62,3,0
L113,59,8,5,51,2,0
L114,492,2,4,76,4,0
L115,292,11,5,48,4,0
L116,30,1,7,92,4,1
L117,84,3,7,68,5,0
L118,503,5,7,43,5,1
L119,106,2,4,94,3,1
L120,662,8,5,76,2,0
L121,32,5,4,89,7,1
L122,356,12,5,78,1,0
L123,225,1,2,41,1,0
L124,585,8,7,45,2,0
L125,446,9,7,49,2,0
L126,461,6,3,43,0,0
L127,287,0,0,97,0,0
L128,511,9,3,93,5,0
L129,390,11,7,93,3,0
L130,425,3,7,97,4,0
L131,146,10,7,66,1,1
L132,591,11,5,77,7,0
L133,609,0,2,52,2,0
L134,558,4,1,93,1,0
L135,420,10,4,67,0,0
L136,135,9,3,64,7,1
L137,145,4,4,56,6,0
L138,61,0,8,82,2,1
L139,578,6,7,43,4,1
L140,553,2,0,77,7,0
L141,698,5,7,70,0,0
L142,394,4,5,43,4,1
L143,386,9,5,62,7,0
L144,32,1,5,66,7,1
L145,577,3,1,60,2,0
L146,161,5,6,40,7,1
L147,190,7,0,67,7,0
L148,516,0,6,61,4,1
L149,662,8,2,80,0,0
L150,426,9,2,85,3,0
L151,631,12,8,96,2,1
L152,445,1,2,45,1,1
L153,567,3,0,43,1,0
L154,42,8,4,89,3,0
L155,41,10,8,93,4,0
L156,144,0,3,59,1,0
L157,566,11,3,97,0,0
L158,653,6,2,55,2,0
L159,569,5,2,88,4,0
L160,40,12,3,93,1,0
L161,614,10,8,82,1,1
L162,243,3,3,87,2,0
L163,414,0,1,55,4,0
L164,633,0,5,92,1,0
L165,489,2,7,90,2,0
L166,65,1,5,87,3,0
L167,567,3,7,65,3,0
L168,614,11,5,97,4,0
L169,533,4,7,83,2,0
L170,651,7,8,66,0,0
L171,69,8,3,40,3,0
L172,696,5,0,44,1,0
L173,303,6,0,55,7,0
L174,113,5,6,82,7,0
L175,61,9,5,85,6,1
L176,512,11,8,59,0,0
L177,20,9,7,78,2,0
L178,458,6,7,98,4,0
L179,388,6,4,72,2,0
L180,584,5,2,73,5,0
