case_id,split,risk_score,failure_within_30d
V001,validation,0.92,1
V002,validation,0.72,1
V003,validation,0.54,1
V004,validation,0.38,1
V005,validation,0.31,1
V006,validation,0.18,1
V007,validation,0.80,0
V008,validation,0.66,0
V009,validation,0.57,0
V010,validation,0.49,0
V011,validation,0.43,0
V012,validation,0.35,0
V013,validation,0.29,0
V014,validation,0.24,0
V015,validation,0.20,0
V016,validation,0.16,0
V017,validation,0.14,0
V018,validation,0.12,0
V019,validation,0.10,0
V020,validation,0.09,0
V021,validation,0.08,0
V022,validation,0.07,0
V023,validation,0.06,0
V024,validation,0.05,0
V025,validation,0.04,0
V026,validation,0.03,0
V027,validation,0.02,0
V028,validation,0.02,0
V029,validation,0.01,0
V030,validation,0.01,0
T001,test,0.88,1
T002,test,0.70,1
T003,test,0.51,1
T004,test,0.34,1
T005,test,0.26,1
T006,test,0.12,1
T007,test,0.78,0
T008,test,0.62,0
T009,test,0.55,0
T010,test,0.47,0
T011,test,0.39,0
T012,test,0.33,0
T013,test,0.28,0
T014,test,0.23,0
T015,test,0.19,0
T016,test,0.15,0
T017,test,0.13,0
T018,test,0.11,0
T019,test,0.10,0
T020,test,0.09,0
T021,test,0.08,0
T022,test,0.07,0
T023,test,0.06,0
T024,test,0.05,0
T025,test,0.04,0
T026,test,0.03,0
T027,test,0.02,0
T028,test,0.02,0
T029,test,0.01,0
T030,test,0.01,0
