learner_id,study_hours_week,practice_accuracy,attendance_pct,sleep_hours,ready_for_assessment
L001,9,0.61,79,5.8,0
L002,5,0.74,96,6.4,1
L003,12,0.87,74,7.0,1
L004,8,0.54,91,7.6,1
L005,4,0.67,69,8.2,0
L006,11,0.80,86,5.4,1
L007,7,0.93,64,6.0,0
L008,3,0.60,81,6.6,0
L009,10,0.73,98,7.2,1
L010,6,0.86,76,7.8,1
L011,2,0.53,93,8.4,0
L012,9,0.66,71,5.6,0
L013,5,0.79,88,6.2,1
L014,12,0.92,66,6.8,1
L015,8,0.59,83,7.4,1
L016,4,0.72,100,8.0,1
L017,11,0.85,78,5.2,0
L018,7,0.52,95,5.8,1
L019,3,0.65,73,6.4,0
L020,10,0.78,90,7.0,1
L021,6,0.91,68,7.6,1
L022,2,0.58,85,8.2,0
L023,9,0.71,63,5.4,0
L024,5,0.84,80,6.0,0
L025,12,0.51,97,6.6,1
L026,8,0.64,75,7.2,0
L027,4,0.77,92,7.8,1
L028,11,0.90,70,8.4,0
L029,7,0.57,87,5.6,0
L030,3,0.70,65,6.2,0
L031,10,0.83,82,6.8,0
L032,6,0.50,99,7.4,1
L033,2,0.63,77,8.0,0
L034,9,0.76,94,5.2,1
L035,5,0.89,72,5.8,0
L036,12,0.56,89,6.4,1
L037,8,0.69,67,7.0,0
L038,4,0.82,84,7.6,1
L039,11,0.49,62,8.2,0
L040,7,0.62,79,5.4,0
L041,3,0.75,96,6.0,1
L042,10,0.88,74,6.6,1
L043,6,0.55,91,7.2,1
L044,2,0.68,69,7.8,0
L045,9,0.81,86,8.4,1
L046,5,0.48,64,5.6,1
L047,12,0.61,81,6.2,0
L048,8,0.74,98,6.8,1
L049,4,0.87,76,7.4,0
L050,11,0.54,93,8.0,1
L051,7,0.67,71,5.2,0
L052,3,0.80,88,5.8,0
L053,10,0.93,66,6.4,1
L054,6,0.60,83,7.0,1
L055,2,0.73,100,7.6,1
L056,9,0.86,78,8.2,1
L057,5,0.53,95,5.4,0
L058,12,0.66,73,6.0,1
L059,8,0.79,90,6.6,1
L060,4,0.92,68,7.2,0
L061,11,0.59,85,7.8,1
L062,7,0.72,63,8.4,0
L063,3,0.85,80,5.6,0
L064,10,0.52,97,6.2,1
L065,6,0.65,75,6.8,0
L066,2,0.78,92,7.4,1
L067,9,0.91,70,8.0,1
L068,5,0.58,87,5.2,0
L069,12,0.71,65,5.8,0
L070,8,0.84,82,6.4,1
L071,4,0.51,99,7.0,0
L072,11,0.64,77,7.6,0
L073,7,0.77,94,8.2,0
L074,3,0.90,72,5.4,0
L075,10,0.57,89,6.0,1
L076,6,0.70,67,6.6,1
L077,2,0.83,84,7.2,1
L078,9,0.50,62,7.8,0
L079,5,0.63,79,8.4,0
L080,12,0.76,96,5.6,1
L081,8,0.89,74,6.2,1
L082,4,0.56,91,6.8,0
L083,11,0.69,69,7.4,0
L084,7,0.82,86,8.0,1
L085,3,0.49,64,5.2,0
L086,10,0.62,81,5.8,0
L087,6,0.75,98,6.4,1
L088,2,0.88,76,7.0,0
L089,9,0.55,93,7.6,0
L090,5,0.68,71,8.2,0
L091,12,0.81,88,5.4,1
L092,8,0.48,66,6.0,0
L093,4,0.61,83,6.6,0
L094,11,0.74,100,7.2,1
L095,7,0.87,78,7.8,1
L096,3,0.54,95,8.4,0
