x1,x2,linear_mix,periodic,noise1,noise2,target
-0.54848518,0.63464012,-0.03209506,-0.91327604,0.58505197,-0.32824011,0
-0.21214087,-0.07869623,-0.29548678,-0.48127215,-0.8497363,0.63543421,1
0.47607883,0.93517282,0.9294069,0.62526034,-1.42135696,0.55145914,0
0.3177313,-0.25410315,-0.07603181,0.74655488,0.57220735,-1.59741861,1
1.71888564,1.38083711,1.53744799,-1.17227764,-0.62743607,1.0750118,0
1.88638759,-0.22126434,1.43826577,-1.20615899,0.08509032,-1.3670887,1
1.03290146,0.0973177,0.66588718,0.36550131,0.1019849,0.79989991,0
-0.49913921,0.55079652,0.08031109,-0.89228724,1.64327297,-1.3767706,0
-1.18493803,0.38097657,-0.53140188,-0.64556147,-0.50923238,-0.50240319,0
-0.12934364,1.20043339,0.67668134,-0.43136954,1.09807409,0.01297989,1
1.03011925,-0.50338186,0.57841572,0.59491323,-0.88870975,0.896117,0
0.28536959,-0.95331364,-0.38107476,0.51314288,1.1315923,-0.63188482,1
-0.32683019,0.72814282,-0.34192608,-0.738694,1.6670247,-0.020652,0
0.86095388,-0.68203786,0.38237327,0.60494205,-0.32262421,-1.77139846,1
1.95500845,0.16323982,1.10283716,-0.98616542,1.08243863,-0.03561042,1
1.46226289,-0.07695757,0.90910215,-0.30041405,-0.12323709,-1.58817116,0
-1.4551875,-0.21979463,-0.94733636,0.0808107,0.92518874,-1.18382435,0
0.99604142,0.32571417,0.62368159,0.65062182,-0.52647198,1.08870488,0
-1.62083794,-0.23405132,-1.34320293,0.39825389,0.8337709,0.48337284,0
1.94766533,0.21275963,1.585753,-0.9052146,-0.00052489,-1.61531494,1
-1.32167042,0.08376039,-0.90655271,-0.00481384,-1.67100756,0.14172214,0
-0.20427424,0.64177959,-0.0167692,-0.43076639,-1.68521897,2.50853423,0
0.49570346,0.14160683,0.24969763,0.65265945,-1.07974638,0.03386703,0
-0.83429431,0.5699039,-0.7297094,-0.64323492,0.24665197,0.44894198,0
0.27215853,1.29365732,0.80501698,0.69040597,-1.966668,-0.90259792,0
