case_id,practice_hours,assessment_score,interface_event_count,learning_route
M13-001,9.644,66.84,1838,independent
M13-002,3.024,73.232,1271,guided
M13-003,2.629,65.671,3175,guided
M13-004,7.143,75.377,8682,guided
M13-005,5.605,60.31,6324,independent
M13-006,6.678,74.279,2696,guided
M13-007,7.3,54.169,2455,independent
M13-008,8.477,49.742,1262,independent
M13-009,9.278,54.758,6655,independent
M13-010,2.272,74.525,2100,guided
M13-011,3.549,73.339,6769,guided
M13-012,5.334,80.647,9044,guided
M13-013,2.667,63.788,6838,guided
M13-014,8.822,58.34,8540,independent
M13-015,1.911,63.193,8024,guided
M13-016,6.489,67.817,8153,guided
M13-017,8.051,58.322,9932,independent
M13-018,5.378,63.839,3698,independent
M13-019,7.325,61.098,2749,guided
M13-020,7.578,62.278,1874,guided
M13-021,4.057,74.042,3209,guided
M13-022,5.675,78.334,3719,guided
M13-023,4.381,63.822,1698,independent
M13-024,10.897,65.026,3123,independent
M13-025,8.711,62.005,8774,independent
M13-026,10.3,63.074,7662,independent
M13-027,2.685,65.103,5657,guided
M13-028,4.92,76.946,5131,guided
M13-029,3.733,78.962,4813,guided
M13-030,5.917,67.191,7293,independent
M13-031,7.127,77.443,2546,guided
M13-032,6.295,49.392,3370,independent
M13-033,7.23,72.444,2156,guided
M13-034,7.542,50.146,3193,independent
M13-035,6.588,79.935,1475,guided
M13-036,9.267,51.792,6176,independent
M13-037,3.563,75.516,6492,guided
M13-038,10.187,62.155,2805,independent
M13-039,5.505,57.366,1980,independent
M13-040,7.09,57.889,3012,guided
M13-041,5.73,56.674,4416,independent
M13-042,2.519,57.265,3051,guided
M13-043,3.947,79.359,7604,guided
M13-044,2.676,74.966,2273,guided
M13-045,6.374,60.748,5388,independent
M13-046,4.947,60.916,9292,independent
M13-047,6.903,66.522,9463,guided
M13-048,8.113,53.276,1079,independent
M13-049,3.33,69.422,9854,guided
M13-050,7.133,44.788,3075,independent
M13-051,6.469,74.079,7082,guided
M13-052,5.068,55.981,8015,independent
M13-053,6.748,66.361,6645,guided
M13-054,9.199,52.33,8373,independent
M13-055,7.096,67.345,7832,guided
M13-056,2.845,66.79,9148,guided
M13-057,5.795,60.99,7414,independent
M13-058,6.261,55.28,2246,independent
M13-059,5.396,66.03,6069,independent
M13-060,9.83,62.515,3850,independent
M13-061,7.918,49.701,8945,independent
M13-062,7.274,57.058,9544,independent
M13-063,5.598,62.28,4323,independent
M13-064,6.427,68.175,4630,independent
M13-065,7.244,62.98,1115,guided
M13-066,8.874,50.868,5766,independent
M13-067,3.662,80.488,1935,guided
M13-068,5.001,79.276,2990,guided
M13-069,9.468,64.09,1388,independent
M13-070,2.523,68.813,2876,guided
M13-071,9.496,69.361,9863,independent
M13-072,3.721,77.752,8776,guided
M13-073,5.568,74.364,9146,guided
M13-074,5.026,80.576,3697,guided
M13-075,7.573,60.185,4020,guided
M13-076,7.129,62.92,6802,guided
M13-077,8.706,52.968,8168,independent
M13-078,5.088,80.516,8419,guided
M13-079,4.88,74.614,1012,guided
M13-080,4.464,74.374,1350,guided
M13-081,7.646,60.083,8188,guided
M13-082,5.122,64.476,7993,independent
M13-083,8.147,47.401,4677,independent
M13-084,8.205,52.528,2195,independent
M13-085,8.265,64.991,9571,independent
M13-086,8.174,50.379,8956,independent
M13-087,5.107,62.275,3575,independent
M13-088,2.036,59.475,7978,guided
M13-089,7.207,54.877,3872,independent
M13-090,4.86,74.249,7187,guided
M13-091,5.306,60.609,1924,independent
M13-092,5.019,71.344,7753,guided
M13-093,5.947,75.989,2002,guided
M13-094,8.381,45.421,5539,independent
M13-095,4.551,63.665,4359,independent
M13-096,8.83,55.308,1269,independent
