session_id,active_minutes,practice_ratio,review_ratio,help_requests,context_switches,completion_fraction,activity_events
LS001,26,0.18,0.78,7,10,0.38,910
LS002,29,0.22,0.74,6,9,0.42,4050
LS003,24,0.16,0.81,8,11,0.35,7210
LS004,32,0.27,0.69,5,8,0.50,980
LS005,28,0.20,0.76,7,9,0.40,3970
LS006,34,0.30,0.66,5,7,0.54,7340
LS007,25,0.17,0.80,8,10,0.36,860
LS008,31,0.25,0.71,6,8,0.47,4160
LS009,27,0.19,0.77,7,11,0.39,7090
LS010,35,0.31,0.64,5,7,0.55,1040
LS011,30,0.24,0.72,6,9,0.45,3890
LS012,23,0.15,0.82,8,12,0.34,7420
LS013,33,0.28,0.68,5,8,0.51,930
LS014,27,0.21,0.75,7,10,0.41,4230
LS015,36,0.32,0.63,4,7,0.56,6970
LS016,24,0.16,0.79,8,11,0.37,1080
LS017,31,0.26,0.70,6,8,0.48,3810
LS018,29,0.23,0.73,6,9,0.44,7480
LS019,46,0.47,0.54,4,6,0.62,900
LS020,51,0.54,0.46,3,5,0.70,4080
LS021,43,0.44,0.57,4,7,0.59,7180
LS022,55,0.59,0.40,2,4,0.76,1010
LS023,49,0.51,0.49,3,5,0.67,3940
LS024,58,0.62,0.37,2,4,0.79,7360
LS025,45,0.46,0.55,4,6,0.61,870
LS026,53,0.57,0.43,3,5,0.73,4190
LS027,47,0.49,0.52,4,6,0.64,7050
LS028,57,0.61,0.38,2,4,0.78,1060
LS029,50,0.53,0.47,3,5,0.69,3860
LS030,44,0.45,0.56,4,7,0.60,7440
LS031,54,0.58,0.42,2,4,0.75,940
LS032,48,0.50,0.50,3,6,0.66,4250
LS033,56,0.60,0.39,2,4,0.77,6920
LS034,42,0.43,0.58,5,7,0.58,1100
LS035,52,0.55,0.45,3,5,0.71,3790
LS036,49,0.52,0.48,3,6,0.68,7510
LS037,73,0.74,0.29,2,3,0.84,920
LS038,81,0.82,0.21,1,2,0.91,4120
LS039,69,0.71,0.32,2,3,0.81,7140
LS040,87,0.88,0.15,0,1,0.96,990
LS041,77,0.78,0.25,1,2,0.88,3990
LS042,84,0.85,0.18,1,1,0.94,7390
LS043,71,0.73,0.30,2,3,0.83,850
LS044,79,0.80,0.23,1,2,0.90,4210
LS045,75,0.76,0.27,2,2,0.86,7010
LS046,89,0.90,0.14,0,1,0.97,1070
LS047,82,0.83,0.20,1,2,0.92,3840
LS048,68,0.70,0.33,2,3,0.80,7470
LS049,85,0.86,0.17,1,1,0.95,960
LS050,76,0.77,0.26,2,2,0.87,4280
LS051,80,0.81,0.22,1,2,0.91,6880
LS052,70,0.72,0.31,2,3,0.82,1120
LS053,88,0.89,0.16,0,1,0.96,3760
LS054,78,0.79,0.24,1,2,0.89,7540
